hesitation_ratio,correction_rate,typing_speed_cps,typing_rhythm_variance,touch_duration_mean,gyroscope_variance,interaction_intensity,swipe_straightness,cognitive_state
0.05108593571788643,0.06178409975790197,3.978581292850635,56.31056814321063,109.6984725385204,0.008124918339321257,9,0.8691645359822495,calm
0.6688773766564294,0.1574181340336279,1.088022176591664,110.47104836553693,158.9922687215783,0.03512911451168169,4,0.6150692951267213,panicked
0.09061389982904354,0.03363524543808227,3.7880645158452735,22.567162610128367,89.16837769873987,0.005091644492902545,7,0.8500135576912163,calm
0.6685535004810349,0.44403612963650907,1.321688264036981,160.3018078183406,176.7749122396867,0.035138952674520905,1,0.3654161776077354,coerced
0.04808225371001179,0.010406806007471906,3.8373140049084236,10.0,142.53298529496263,0.018109059301357613,7,0.8618517046577097,calm
0.5642086366806884,0.5872612712106267,0.5928362637835287,196.42719790672123,289.1608992988591,0.04539699379699011,1,0.6645621015328989,coerced
0.24256065021829148,0.1721396559666392,2.678766273123188,102.99573054904405,195.78722844469112,0.01,7,0.7862546852180827,distressed
0.5739772879138023,0.38084303447580586,1.1857461645716152,100.0,160.0,0.039465976681388605,1,0.5520267772706302,coerced
0.08990401968608153,0.06,3.199215464309875,12.657397401966541,115.47700164463996,0.008208779146755824,10,0.8609427699610835,focused
0.2990181090622311,0.3,2.204814992341057,85.3019694028293,182.90993609744766,0.01813914508749538,3,0.804859498112033,distressed
0.11654564996590133,0.037296916977393936,3.8507127552700937,43.066557057168346,101.21020643112789,0.022,10,0.9031544878572565,focused
0.15,0.05723652805412367,3.3280296783337815,22.567968776953517,100.26332613830832,0.012867547196826479,11,0.8322745435542082,calm
0.09617434285249543,0.034093085739610576,4.319363949957456,60.0,104.53648476483318,0.02030686675515256,10,0.8351553254385445,calm
0.05026407127741532,0.05138387055962901,3.427303333981135,26.305913747446834,104.66406483627597,0.005,9,0.9029022413148534,calm
0.21216838334400967,0.1937593362106603,2.5521577641959943,54.928736651512274,148.49872125805865,0.010066749712724475,6,0.7210511536353514,distressed
0.49638892659117995,0.40904698079064544,0.6689951815142161,138.44146451093602,328.5607150678412,0.06276723158771275,1,0.6104034340932982,coerced
0.13193661388199318,0.025155879360025404,3.9634161047417598,42.38645309613234,106.93091164458086,0.015834138381101297,6,0.8105721318513732,calm
0.32232449031842497,0.55,2.000061584909597,184.28597591744887,160.50088126128284,0.0526900081235299,2,0.4871796760906825,panicked
0.0983632993449734,0.027428123828188197,2.8569748830847037,25.359067992200885,149.03386087320365,0.004308594773768726,10,0.7977353353173395,focused
0.040075642545475514,0.08,3.9025924453680916,51.968555045364674,119.65245213890745,0.009176737617992212,5,0.8286236845229634,calm
0.006111282063019144,0.0001874510005937861,9.368769813452625,0.1,51.99202865508188,0.0005987838023581678,28,0.9813452535672823,robotic
0.06333337693527376,0.03188891238125153,3.4955884187883175,32.12309363780588,147.68784735062886,0.006041356496149132,5,0.8374777658935264,calm
0.5713299358203987,0.5463953761622854,0.7901680580113717,141.1819057560095,325.68300281309945,0.08720806799307673,3,0.7097408317778272,coerced
0.6422196021754835,0.5572115000004542,0.98639007150764,350.0,330.3708980578981,0.04860960299794062,1,0.5223823154027315,coerced
0.11658318380619707,0.050621618139969425,3.8154243335267535,47.93206791004929,105.93195191899378,0.005284928945821726,7,0.7876288956851428,calm
0.6909515645240988,0.2,1.297234373317649,189.07565378555606,249.98927015725377,0.0861695741451258,1,0.42175780844927147,coerced
0.2,0.03574145513795075,2.6310418529477064,8.0,140.3046121979769,0.008675586369031534,11,0.8838015547778098,focused
0.1582685748480317,0.04982745658858336,4.342761314788218,33.52102133493463,102.6993645815137,0.004,8,0.8058918784206228,focused
0.3725297926483083,0.5055641015331757,2.310702577497217,75.67321829097176,246.59913643235058,0.03526057427902407,2,0.5488010952524635,panicked
0.27585408771345343,0.10877057067647743,2.8774031250399448,35.435112646489976,177.33907154571153,0.017510385974995407,9,0.798687497010853,distressed
0.00509336501630642,0.0030836822964117245,9.559347309658461,0.4469762444927762,51.889038263014996,0.0007782284333975575,20,0.9891816612375671,robotic
0.6099679364161767,0.55,0.5623834267988452,207.07184517469082,172.9485707217167,0.025975921852030445,4,0.6175903833456159,panicked
0.013850020900787414,0.005637569639440976,9.812829588258197,0.6129230412145956,43.974234576866344,0.0012052089992820492,13,0.9868102544687698,robotic
0.008744910219777689,0.00108244394309923,9.089551580607674,2.739477842644745,39.807412951414385,0.001411233170029169,12,0.9840559039911366,robotic
0.002151000428141413,0.004145804604046419,9.893189528234382,0.1296584494089052,51.04174300169397,0.00010659722169529237,21,0.9807533664087289,robotic
0.3378705652297462,0.09677561579327404,1.4360561313581122,81.84684451926137,161.86777179021774,0.016908862919745936,7,0.7451822318682401,distressed
0.6253546285451795,0.6397238258982076,0.8131480603967898,250.110953014965,249.99796378396758,0.06293263834057215,2,0.5460016809431579,coerced
0.6591562354346611,0.450441388241883,1.0698564306016771,158.5824352523873,328.3268556701627,0.03,1,0.6210290994363007,coerced
0.6269577401754239,0.2607092155380935,0.7834973645499449,100.0,312.437463972097,0.03319953328620199,1,0.6102820862775737,coerced
0.08071415343966705,0.03227043461831128,2.740079402451679,28.157834188739983,164.69596779391793,0.004909726552685433,9,0.8219173184941208,focused
0.2,0.017137282679342464,3.4520674876325743,8.394306463535361,117.85407773936475,0.0065929604351787985,9,0.8789001915476945,focused
0.7940214215261687,0.5356288890914542,1.495498869152122,298.9013718428255,254.2999069676992,0.08952981953601948,1,0.5675071123009172,coerced
0.6515823610367639,0.45891792402915554,1.03859718027942,132.56631302130424,308.73351995209316,0.06072645844740662,1,0.5798176806830533,coerced
0.6140724202642094,0.33281289259996155,0.7198644776280281,121.67172845724757,291.15687865579315,0.06224897956370656,6,0.47684044950226423,coerced
