user_id,session_id,timestamp,typing_speed_cps,typing_rhythm_variance,typing_pressure_mean,swipe_velocity_mean,swipe_velocity_variance,swipe_straightness,touch_duration_mean,touch_duration_variance,touch_area_mean,hesitation_ratio,hesitation_count,correction_rate,scroll_speed_mean,gyroscope_variance,session_time_elapsed,interaction_intensity,label,cognitive_state
user_f9c0a958,sess_5d156d909a37,2026-06-01 08:03:56.134741,3.7574236114910295,33.25122761518797,0.4914919496807404,1.2496616371988616,0.15613682152184255,0.8350638412928444,118.40982312058577,579.2925468924435,0.4985728769926369,0.10134096636328914,1,0.05154852250791243,0.74281900947654,0.020118067004591424,238.3312205174848,11,account_takeover,focused
user_b08bde69,sess_42611322abc8,2026-06-01 09:04:22.044701,1.8956170309859013,205.41244359205308,0.7252869747480839,0.37936252929104397,0.28537936888023113,0.6366277009252964,229.23971730166232,2938.2514972617787,0.592262798092897,0.5164529341870757,8,0.2909461575433404,0.14840955913059534,0.05106547330387902,6261.311559111097,4,social_engineering,coerced
user_c0966cad,sess_3a9575ec037c,2026-06-01 08:50:30.064756,0.7586323740849642,159.23124027994697,0.7349970664473182,0.2863465155050336,0.7795525881072111,0.48940092905575433,260.7892166300088,5000.0,0.5890852230720255,0.5191618831194338,7,0.2863489428543108,0.12456354599957511,0.08155623693336972,4906.423400575603,8,social_engineering,coerced
user_1536547f,sess_56d437f09a5f,2026-06-01 08:09:24.150506,1.4090119701197694,191.33958857671433,0.7489166211509308,0.4338538457686848,0.17214833046099387,0.7537220362393365,167.6153865007217,1958.9438700287358,0.43016440712349036,0.38514682177020865,8,0.20749520858997786,0.26032134016305497,0.04345377646076624,918.419297982774,4,social_engineering,distressed
user_c3d91470,sess_e26e5278f202,2026-06-01 08:20:45.900814,0.9682235353677635,246.71453686007274,0.6761664167472154,0.6293583418087398,0.30677011749320626,0.5175791824383584,217.19426883222903,2557.155087180997,0.6504418053130069,0.42406894208047485,5,0.24095646595324843,0.4125984526922425,0.05658966323621786,2017.8035542337886,4,social_engineering,distressed
user_99faff2e,sess_a822a3768e00,2026-06-01 08:34:17.975591,4.829133542470103,17.079073149677352,0.6391885937773715,1.4950924650734612,0.08314141031559433,0.8124761614759309,106.93507326253706,344.2129606436459,0.5284647029586707,0.06751126961480537,2,0.030574692371269127,1.3304288343931665,0.014697252385743792,2061.9188996933926,13,account_takeover,calm
user_7e5323ee,sess_455a1bc961a5,2026-06-01 09:50:58.008515,4.300850795794929,18.670231238959538,0.4697024802391483,1.738556852026338,0.17924262918614253,0.8939035104226297,152.8964417893204,542.5369185695381,0.5350493977456623,0.008780017305946443,2,0.053987771990402264,0.6799299001831483,0.01655727018804827,118.2823337298997,3,normal,focused
user_addbb895,sess_54889433e3c2,2026-06-01 09:04:27.810164,1.2840585093526162,157.32285684428228,0.8966211027256824,0.37065529983510953,0.23525660517388328,0.6497905557793334,239.9645898164782,2557.281534895611,0.5405374732777917,0.5847836082772413,6,0.21424818396363673,0.20766646061899036,0.041831562154364565,6270.11175278231,2,social_engineering,coerced
user_c6cb6c2e,sess_db46a641cac7,2026-06-01 10:09:18.123513,3.682231609167238,60.54096266545801,0.520526336571042,0.8594099915286291,0.31247894589508574,0.8312837306453709,67.89948412051668,1423.159796889529,0.44290611466245594,0.11299940477074655,4,0.056732563849559534,0.8764295515502206,0.019296013135353923,406.0509127730139,5,normal,focused
user_95cb7738,sess_3aff6d279718,2026-06-01 10:06:02.044825,3.6039822720881816,25.680894377857324,0.6519558442044168,1.7104635217157746,0.047740172159170376,0.8276124844478022,133.3911367205708,533.8992636175149,0.6438281935936843,0.058465213652015416,1,0.0018253922117151215,0.759646630178967,0.01585918364987964,298.0861898467929,4,normal,focused
user_f54fd185,sess_ec8162da1c3a,2026-06-01 08:55:37.870048,4.128040140920827,78.22033066451426,0.4967926441534571,1.1241050120159013,0.09195280127042726,0.8152462733633914,149.57692952794122,577.1345391943954,0.4944211760816304,0.14838390154352485,1,0.06420792536731479,0.9518884523979059,0.024941600055332892,51.419884061580234,11,normal,focused
user_2cc7ba90,sess_e3f253d3f7d0,2026-06-01 09:10:16.071760,3.602828914550609,20.87069031371142,0.5232934340431854,0.7792636667486612,0.1486972253509988,0.8155541406152995,90.76997441826298,265.4780454797219,0.36666254199872433,0.0683742523286542,1,0.07365814809042816,0.44140974119426907,0.005286246324032001,309.95564566251824,7,normal,focused
